                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.64188,                0.39054,                 1.1201,                0.93239,                   0.95,                0.90977,                0.69054,                0.94172,                0.49052,                 1.4501,              0.0013342,              0.0013342,              0.0013342
                    123,                 0.6677,                0.40863,                 1.1535,                 0.9327,                   0.95,                 0.9349,                0.71398,                0.90106,                0.44091,                 1.4083,              0.0013314,              0.0013314,              0.0013314
                    124,                0.63686,                 0.3956,                 1.1306,                0.93407,                   0.95,                0.94303,                0.69757,                0.92741,                0.44404,                 1.4108,              0.0013287,              0.0013287,              0.0013287
                    125,                0.65209,                0.39328,                 1.1049,                0.93107,                   0.95,                0.91875,                0.68075,                0.91135,                0.44108,                 1.3923,              0.0013259,              0.0013259,              0.0013259
                    126,                0.68032,                0.40732,                 1.1713,                0.93425,                   0.95,                 0.9115,                0.67328,                0.99809,                0.48598,                 1.4929,              0.0013232,              0.0013232,              0.0013232
                    127,                0.64683,                0.38762,                 1.1172,                0.93526,                   0.95,                0.91015,                 0.6588,                 1.0889,                0.54479,                 1.6225,              0.0013204,              0.0013204,              0.0013204
                    128,                0.66644,                0.39923,                 1.1258,                0.93247,                   0.95,                0.91015,                0.67017,                 1.0667,                0.53655,                 1.6052,              0.0013177,              0.0013177,              0.0013177
                    129,                0.64308,                0.38581,                 1.1194,                0.93057,                   0.95,                0.91056,                0.65561,                 1.0539,                0.50775,                 1.5491,              0.0013149,              0.0013149,              0.0013149
                    130,                0.62491,                 0.3896,                 1.1162,                0.93006,                   0.95,                0.91803,                0.68804,                 1.0515,                0.49729,                 1.5249,              0.0013122,              0.0013122,              0.0013122
                    131,                0.63217,                0.39856,                 1.1094,                0.93201,                   0.95,                0.91481,                0.68246,                  1.042,                0.49791,                 1.5149,              0.0013094,              0.0013094,              0.0013094
                    132,                0.63021,                0.37797,                  1.088,                0.92909,                   0.95,                0.91204,                0.67778,                 1.0339,                0.54883,                  1.497,              0.0013067,              0.0013067,              0.0013067
                    133,                0.65321,                0.39243,                 1.1227,                0.92762,                   0.95,                0.91263,                0.69334,                 1.0363,                0.53593,                 1.5015,              0.0013039,              0.0013039,              0.0013039
                    134,                0.65594,                0.40008,                 1.1258,                0.92588,                   0.95,                  0.914,                0.67756,                 1.0173,                0.48067,                 1.4734,              0.0013012,              0.0013012,              0.0013012
                    135,                 0.6842,                0.42052,                 1.1401,                0.92969,                   0.95,                0.91738,                0.68544,                 1.0261,                0.48249,                 1.4845,              0.0012984,              0.0012984,              0.0012984
                    136,                0.62421,                0.38955,                 1.1024,                0.93365,                   0.95,                0.93679,                0.68955,                 1.0041,                0.44869,                 1.4858,              0.0012957,              0.0012957,              0.0012957
                    137,                0.64068,                0.38996,                 1.1216,                0.93271,                   0.95,                0.92325,                0.69723,                0.96647,                0.45293,                 1.4532,              0.0012929,              0.0012929,              0.0012929
                    138,                0.64393,                0.36448,                 1.1142,                 0.9306,                   0.95,                0.92038,                0.69786,                0.96892,                0.44184,                 1.4321,              0.0012902,              0.0012902,              0.0012902
                    139,                0.63343,                0.36738,                  1.104,                0.92977,                   0.95,                0.92413,                0.69592,                0.97493,                 0.4686,                 1.4331,              0.0012874,              0.0012874,              0.0012874
                    140,                0.61073,                0.37804,                 1.1164,                0.93166,                   0.95,                0.92927,                0.70928,                0.96278,                0.50293,                 1.4204,              0.0012847,              0.0012847,              0.0012847
                    141,                0.64824,                 0.3841,                   1.13,                0.93042,                   0.95,                0.92485,                0.71166,                0.95393,                0.47832,                 1.4078,              0.0012819,              0.0012819,              0.0012819
                    142,                0.62153,                0.37197,                 1.0869,                0.92845,                   0.95,                0.91228,                0.71414,                0.95241,                0.45317,                 1.4107,              0.0012792,              0.0012792,              0.0012792
                    143,                0.65042,                0.38166,                 1.1209,                0.92837,                   0.95,                0.91384,                0.71017,                0.92321,                0.45107,                 1.3866,              0.0012764,              0.0012764,              0.0012764
